Year,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3
2014,8/30,vs.,Youngstown State,W,28,17,,,
2014,9/6,vs.,Western Kentucky,W,42,34,,,
2014,9/13,@,Washington,L,19,44,,,
2014,9/20,vs.,Texas State,W,42,35,,,
2014,9/27,@,Nebraska,L,14,45,,,
2014,10/4,vs.,Purdue,L,27,38,,,
2014,10/11,@,Wisconsin,L,28,38,,,
2014,10/25,vs.,Minnesota,W,28,24,,,
2014,11/1,@,Ohio State,L,14,55,,,
2014,11/15,vs.,Iowa,L,14,30,,,
2014,11/22,vs.,Penn State,W,16,14,,,
2014,11/29,@,Northwestern,W,47,33,,,
2014,12/26,vs.,Louisiana Tech,L,18,35,@ Dallas, TX,Heart of Dallas Bowl
2013,8/31,vs.,Southern Illinois,W,42,34,,,
2013,9/7,vs.,Cincinnati,W,45,17,,,
2013,9/14,vs.,Washington,L,24,34,@ Chicago, IL,
2013,9/28,vs.,Miami,W,50,14,,,
2013,10/5,@,Nebraska,L,19,39,,,
2013,10/19,vs.,Wisconsin,L,32,56,,,
2013,10/26,vs.,Michigan State,L,3,42,,,
2013,11/2,@,Penn State,L,17,24,,,
2013,11/9,@,Indiana,L,35,52,,,
2013,11/16,vs.,Ohio State,L,35,60,,,
2013,11/23,@,Purdue,W,20,16,,,
2013,11/30,vs.,Northwestern,L,34,37,,,
2012,9/1,vs.,Western Michigan,W,24,7,,,
2012,9/8,@,Arizona State,L,14,45,,,
2012,9/15,vs.,Charleston Southern,W,44,0,,,
2012,9/22,vs.,Louisiana Tech,L,24,52,,,
2012,9/29,vs.,Penn State,L,7,35,,,
2012,10/6,@,Wisconsin,L,14,31,,,
2012,10/13,@,Michigan,L,0,45,,,
2012,10/27,vs.,Indiana,L,17,31,,,
2012,11/3,@,Ohio State,L,22,52,,,
2012,11/10,vs.,Minnesota,L,3,17,,,
2012,11/17,vs.,Purdue,L,17,20,,,
