College,Total,Female,%Female
KL ,3265.0,1806.0,0.553139356815
KM ,4266.0,1973.0,0.462494139709
KN ,1195.0,966.0,0.808368200837
KP ,10732.0,2076.0,0.193440178904
KR ,2321.0,1292.0,0.556656613529
KS ,76.0,28.0,0.368421052632
KT ,1104.0,739.0,0.669384057971
KU ,580.0,248.0,0.427586206897
KV ,14032.0,6765.0,0.482112314709
KW ,2790.0,1140.0,0.408602150538
KY ,2181.0,1482.0,0.679504814305
LC ,567.0,472.0,0.832451499118
LG ,186.0,128.0,0.688172043011
LL ,468.0,412.0,0.880341880342
LN ,52.0,36.0,0.692307692308
LP ,271.0,198.0,0.730627306273
NB ,1.0,0.0,0.0
