Semester,Course Subject,Course Number,Course Title,Course Section,Sched Type,Primary Instructor,Term,CRN,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
Fall 2016,AAS,100,Intro Asian American Studies,,,"Chung, Ga Young",,41758,10,15,3,1,0,0,1,0,0,0,0,0,0,0,3.89,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Chung, Ga Young",,47100,7,12,1,5,1,0,0,1,1,0,0,0,0,0,3.68,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Lee, Jean Y",,47102,6,4,6,3,1,1,0,0,1,0,0,0,0,0,3.61,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Lee, Jean Y",,51248,9,6,7,3,1,0,2,0,0,1,0,0,0,0,3.61,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Atienza, Paul Michael L",,51249,4,18,2,1,3,0,1,0,1,0,0,1,1,0,3.51,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Atienza, Paul Michael L",,51932,2,15,3,0,3,2,1,2,1,0,0,0,0,0,3.49,,
Fall 2016,AAS,246,Asian American Youth in Film,,,"Kwon, Soo Ah",,66200,0,27,4,0,1,0,0,0,0,0,0,0,0,0,3.93,,
Fall 2016,AAS,258,Muslims in America,,,"Rana, Junaid",,58913,0,22,5,1,0,0,0,0,0,0,0,0,0,1,3.92,,
Fall 2016,ABE,100,Intro Agric & Biological Engrg,,,"Green, Angela R",,31263,0,30,0,0,11,0,0,1,0,0,0,0,0,0,3.69,,
Fall 2016,ABE,223,ABE Principles: Machine Syst,,,"Grift, Tony E",,58927,1,28,2,1,6,2,0,0,0,0,0,0,0,0,3.75,,
Fall 2016,ABE,224,ABE Principles: Soil & Water,,,"Bhattarai, Rabin",,58931,1,33,9,3,2,0,0,0,0,0,0,0,1,0,3.78,,
Fall 2016,ABE,430,Project Management,,,"Davidson, Paul C",,64779,0,104,7,0,1,0,0,0,0,0,0,0,1,0,3.94,,
Fall 2016,ABE,466,Engineering Off-Road Vehicles,,,"Hansen, Alan C",,31280,3,6,8,7,2,0,2,0,0,0,0,0,0,0,3.55,,
Fall 2016,ABE,488,Bioprocessing Biomass for Fuel,,,"Singh, Vijay",,57478,6,14,4,2,3,0,0,0,0,0,0,0,0,0,3.8,,
Fall 2016,ACCY,200,Fundamentals of Accounting,,,"Silhan, Peter A",,29670,4,93,57,32,57,22,20,17,4,3,4,2,1,0,3.26,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Chen, Monica S",,36478,8,4,8,3,4,3,3,2,3,0,3,0,1,0,3.01,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Chen, Monica S",,36482,1,0,3,1,2,3,4,3,1,0,3,0,4,0,2.09,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Coady, Jennifer J",,36484,4,2,7,4,2,1,2,3,1,0,1,0,1,0,3.04,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Gebhardt, Abbey L",,36486,3,5,3,0,4,2,2,3,1,0,2,0,2,0,2.77,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Jones, Brock A",,36487,5,3,3,4,4,4,2,1,0,0,2,0,0,1,3.13,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Coady, Jennifer J",,36489,5,4,3,2,3,4,1,3,1,0,4,0,1,0,2.82,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Gebhardt, Abbey L",,36494,10,6,7,2,5,3,2,0,3,0,3,0,1,0,3.14,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Jones, Brock A",,36496,7,7,9,3,4,3,2,2,1,0,2,0,4,0,2.99,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Pietura, Magdalena",,36499,6,10,3,3,2,1,1,2,2,0,6,0,3,0,2.8,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Zhu, Xiaoxiao",,36502,6,7,6,2,2,4,0,2,2,0,4,0,5,1,2.72,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Silver, Paige R",,36506,3,11,7,4,4,2,3,5,0,0,1,0,1,1,3.18,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Valentine, Courtney M",,36509,5,11,5,1,5,4,2,0,2,0,3,0,2,0,3.06,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Pietura, Magdalena",,36516,2,6,4,0,2,2,2,1,1,0,2,0,4,0,2.63,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Silver, Paige R",,36522,2,3,11,4,10,3,4,2,1,0,1,0,0,0,3.11,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Waddock, Madeleine K",,36526,3,4,8,6,5,5,4,1,1,0,1,0,3,1,2.92,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Zhu, Xiaoxiao",,36536,4,9,4,0,4,3,6,2,1,0,2,0,2,0,2.93,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Valentine, Courtney M",,36538,3,3,12,3,4,5,3,1,2,0,2,0,2,0,2.94,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Waddock, Madeleine K",,36543,7,7,12,3,1,4,3,0,1,0,3,0,1,1,3.22,,
