College,Asian,Black,Hispanic,International,Multi,Unknown,White,Female,Male,All
"Agr, Consumer, & Env Sciences",91.3,80,87.2,63.2,81.3,80,82.7,81,81.8,81.3
Applied Health Sciences,90.6,76.5,97,87.5,100,.,91.9,92.4,88.5,90.9
College of Business,95.2,65.4,92.5,90.8,93.8,100,95.9,95.8,91.3,93.4
College of Media,72.7,81.8,88.9,80,83.3,100,93.3,90.8,86.8,89.1
Division of General Studies,63.4,74.1,66.9,47.4,77.5,42.9,59.2,56.8,63.6,60.9
Education,87,71.4,78.3,80,0,100,82.8,83.8,54.5,81.6
Engineering,93.7,86.4,86.7,93.6,86.8,95,91,91.3,91.8,91.7
Fine & Applied Arts,84.4,78.3,88.6,81,61.5,100,89.5,88.6,82.2,85.9
Liberal Arts & Sciences,88.5,78,83.1,72.8,88.9,83.3,85.5,82.8,83.9,83.3
School of Social Work,66.7,33.3,90.9,.,100,.,83.3,84.4,66.7,82.4
